title,story,num_episodes,show_start,series_type,genres,picture
5-toubun no Hanayome∽,انمي جانبي جديد يعرض قصص من المانجا لم تعرضها المواسم السابقة.,2.0,2023.0,Special,"كوميدي, رومانسي, حريم, مدرسي, شونين",https://animeslayer.space/wp-content/uploads/2023/09/5-toubun_no_Hanayome7E_Key_visual.webp
7 Seeds | 7 سيدز,"قصة انمي 7 Seeds تدور في المستقبل القريب ، اصطدم نيزك عملاق بالأرض. جميع الكائنات الحية ، بما في ذلك البشرية ، قد تم محوها من على وجه الكوكب. اتخذت الحكومة ، التي توقعت هذه النتيجة ، تدابير لمواجهة السيناريو الأسوأ. على وجه الخصوص كان مشروع ""7SEEDS"" ، حيث تم اختيار خمس مجموعات من سبعة شبان وشابات بعناية ووضعوا في فرق (الربيع والصيف أ والصيف ب والخريف والشتاء). ثم وضع كل مشارك تحت النوم المبردة على أمل الحفاظ على استمرار وجود البشرية. عندما استيقظ هؤلاء الرجال والنساء ، وجدوا أنفسهم فجأة اندفعوا نحو عالم قاسي. وبينما كانوا يشعرون بالحزن والاحباط لفقدان أحبائهم إلى الأبد ، فقد سعوا لإيجاد طرق للبقاء على قيد الحياة. Seven Seeds الاسم باليابانية :セブンシーズ الاسم بالإنجليزية :7 Seeds الاسم بالعربية :7 بذور",12.0,2019.0,ONA,"أكشن, خيال علمي, مغامرات, غموض, رعب, نفسي, رومانسي, دراما, شوجو",https://animeslayer.space/wp-content/uploads/2020/09/Ashampoo_Snap_2019.06.28_16h13m02s_002_.png
7 Seeds 2nd Season | 7 سيدز الموسم الثاني,يواصل اخر الناجين من اليابان استكشاف مخاطر عالمهم الجديد ومكامن الشر في كل منهم غير ان الروابط الانسانية في الماضي والحاضر لا تموت ابدا. الأسماء البديلة :Seven Seeds 2nd Season الاسم باليابانية :7SEEDS الاسم بالعربية :7 بذور,12.0,2020.0,ONA,"خيال علمي, أكشن, مغامرات, غموض, نفسي, دراما, رومانسي, شوجو",https://animeslayer.space/wp-content/uploads/2020/09/Anime4up_002-8.png
86 Eighty Six | السادس والثمانين,القصة تدور حول جمهورية سان مانجوليا التي تعرضت للهجوم من قبل جارتها الإمبراطورية. خارج الـ85 منطقة في الجمهورية تقع “منطقة الـ86 الغير موجودة”، هناك يواصل فتيان وفتيات القتال. يدير نوزين شين شبابًا يقومون بتفجيرات انتحارية، في حين تقود فلاديلينا كتيبة من الخلف.,11.0,2021.0,TV,"أكشن, حربي, خيال علمي, دراما, ميكا",https://animeslayer.space/wp-content/uploads/2021/04/86-723x1024-1.jpg
86 Special Edition: Senya ni Akaku Hinageshi no Saku | | السادس والثمانين,حلقة خاصة من انمي 86.,1.0,2021.0,Special,"أكشن, حربي, خيال علمي, دراما",https://animeslayer.space/wp-content/uploads/2021/06/86-Special-Edition-Senya-ni-Akaku-Hinageshi-no-Saku-723x1024-1.jpeg
91 Days,"الأحداث في عام 1920 ، خمس سنوات بعد قانون التحريم الوطني في مدينة "" Lorel "" في الولايات المتحده . تدور احداث القصة حول "" Avilo "" رجل يقوم بالتخفي والإنظمام إلى مافيا "" Vampiro family "" لكي ينتقم من قتلة عائلته",12.0,2016.0,TV,"أكشن, دراما, تاريخي",https://animeslayer.space/wp-content/uploads/2020/09/80515.jpg
"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",الحلقة الخاصة من الانمي وتسمى ايضاً الحلقة رقم 13.,1.0,2017.0,Special,"أكشن, تاريخي, دراما",https://animeslayer.space/wp-content/uploads/2021/04/91-Days-Toki-no-Asase-Subete-no-Kinou-Ashita-Mata-Ashita-731x1024-1.jpg
A Go! Go! Cory Carson Christmas 2020,عندما يصطدم شخص غريب يبدو مألوفًا بدون ذاكرة ، يساعده كوري على تذكر سحر الكريسماس لتوفير العطلة للجميع,1.0,2020.0,Movie,"أطفال, دراما",https://animeslayer.space/wp-content/uploads/2020/12/a_go_go_cory_carson_christmas-388417538-mmed.jpg
A Go! Go! Cory Carson Halloween (2020),بناء على. اذهب. خط لعبة من في تتش، سلسلة الأطفال تتبع مغامرات كوري كارسون.,1.0,2020.0,Movie,أطفال,https://animeslayer.space/wp-content/uploads/2020/11/%D8%AA%D9%86%D8%B2%D9%8A%D9%84-1.jpg
A-Channel | قناة,"لقصة تدور حول الحياة اليومية لأربع فتيات مدرسة ثانوية : run طائشة , و المتهورة Tooru، وYuuko خجولة، وNagi الرزينة. تكون العلاقة بين yuuko و Tooru سيئة لأنهما التقيتا تحت ظروف سيئة أما Nagi فتراقبهم فقط الأسماء البديلة :A-Channel: The Animation الاسم باليابانية :Aチャンネル الاسم بالإنجليزية :A-Channel",12.0,2011.0,TV,"كوميدي, شريحة من الحياة, مدرسي, سينين",https://animeslayer.space/wp-content/uploads/2021/01/43-13.jpg
